# teff       type       Mv      BC      g
# Supergiant (I)
1 15000      B4         -6.5    -1.1    250
1 16000      B3         -6.5    -1.2    250
1 17000      B3         -6.5    -1.2    250
1 18000      B2         -6.3    -1.4    250
1 19000      B1.5       -6.5    -1.6    275
1 20000      B1         -6.5    -1.7    275
1 21000      B1         -6.5    -1.7    275
1 22000      B0.7       -6.5    -1.8    275
1 23000      B0.5       -6.5    -2.0    275
1 24000      B0.5       -6.5    -2.0    275
1 25000      B0.5       -6.5    -2.0    275
1 26000      B0.2       -6.5    -2.4    275
1 27000      B0.2       -6.5    -2.4    275
1 28000      B0.2       -6.5    -2.4    275
1 29000      B0         -6.5    -2.7    300
1 30000      B0         -6.5    -2.7    300
# Giant (III)
3 15000      B6         -2.0    -1.2    350
3 16000      B5         -2.5    -1.3    350
3 17000      B3         -3.0    -1.5    350
3 18000      B2         -3.7    -1.6    350
3 19000      B2         -3.7    -1.6    350
3 20000      B1.5       -3.9    -1.8    325
3 21000      B1         -4.3    -2.0    325
3 22000      B1         -4.3    -2.0    325
3 23000      B0.7       -4.7    -2.2    325
3 24000      B0.7       -4.7    -2.2    325
3 25000      B0.5       -5.0    -2.5    325
3 26000      B0.5       -5.0    -2.5    325
3 27000      B0.2       -5.0    -2.6    325
3 28000      B0.2       -5.0    -2.6    325
3 29000      B0         -5.0    -2.9    325
3 30000      B0         -5.0    -2.9    325
# Dwarf (V)
5 15000      B5         -1.2    -1.5    400
5 16000      B5         -1.2    -1.5    400
5 17000      B5         -1.2    -1.5    400
5 18000      B5         -1.2    -1.5    400
5 19000      B3         -1.2    -1.8    400
5 20000      B2         -2.5    -2.0    400
5 21000      B1.5       -2.8    -2.2    400
5 22000      B1.5       -2.8    -2.2    400
5 23000      B1.5       -2.8    -2.2    400
5 24000      B1         -3.2    -2.5    400
5 25000      B1         -3.2    -2.5    400
5 26000      B0.5       -3.8    -2.6    400
5 27000      B0.5       -3.8    -2.6    400
5 28000      B0.2       -3.8    -2.9    400
5 29000      B0.2       -3.8    -2.9    400
5 30000      B0         -3.8    -3.0    400
